date,mean_temparture,max_temparture,min_temparture,mean_wind_speed,max_wind_speed,max_moment_wind_speed,most_wind_direction,mean_cloud_cover,total_precipitation,mean_humidity
2020/1/1,5.5,10.2,3.2,2.6,6.1,11.8,北北西,3,0,49
2020/1/2,6.2,11.3,1.9,1.8,3.3,5.3,北,1,0,60
2020/1/3,6.1,12,1.4,1.4,3,4.6,北西,0,0,63
2020/1/4,7.2,12.2,3.6,2.3,5.2,10.8,北北西,5.5,0,53
2020/1/5,5.4,10.2,0.6,3,6.3,12.4,北西,0,1,61
2020/1/6,7.5,12.2,3.1,3,5.7,10.4,北西,5.8,0,44
2020/1/7,5.7,8.2,3.9,2,3.9,5.8,北北東,9.5,2,71
2020/1/8,5.2,7.6,3.8,2,4.9,8.7,北西,7.5,11.5,97
2020/1/9,10.6,14.9,4.6,3.6,7.4,15.6,北西,2.5,0,47
2020/1/10,8.4,12.6,5.5,2.4,4.3,8.5,北北西,4.3,0,59
2020/1/11,7,10.5,5.2,1.8,3.1,5.2,北北西,5.3,0,68
2020/1/12,6.7,10.2,2.5,1.6,2.8,4.9,北北西,7.8,0,72
2020/1/13,8.5,13.7,4.6,1.8,4.4,7.4,北北西,2.5,0,68
2020/1/14,8.4,13.5,4.7,1.8,4.2,6.2,北北西,6.8,0,71
2020/1/15,6.8,9.4,4.9,2.5,5.5,11.4,北西,6.5,15,87
2020/1/16,6.7,10.9,3.9,2.2,4.9,9.2,北北西,6.8,0,49
2020/1/17,7.3,11.1,3.9,2.5,4.3,7.8,北西,10,0,59
2020/1/18,3.8,7.2,1.5,3.1,5.7,10.4,北,10,8.5,84
2020/1/19,6.5,11.1,1.9,2.4,4.8,8.1,北北東,5.3,0,64
2020/1/20,7.5,14.1,2,2,4,5.9,北西,2.3,0,62
2020/1/21,7.4,11.8,3.9,3.8,8.1,12.6,北北西,0,0,46
2020/1/22,4.9,7.3,2,1.9,3.4,6.4,北西,7.5,0,55
2020/1/23,6.1,8.7,4.1,1.8,3.2,6,北西,9.8,2.5,84
2020/1/24,9.9,13.4,7.4,1.8,5.5,10.2,北西,8.8,0,73
2020/1/25,7.8,10.2,5.9,2.6,6.4,13.2,北北西,9.8,0,47
2020/1/26,5,7.6,2.7,1.3,2.8,4.7,北西,10,6,78
2020/1/27,5.1,6.5,2.9,2,4.5,9.7,北,10,5,72
2020/1/28,4.4,7,0.6,3.6,5.8,10.6,北北西,10,55.5,98
2020/1/29,11.8,18.6,6.9,2.5,6.2,13.5,北北西,7.8,28,83
2020/1/30,11.7,17.5,6.8,2.1,7,12.2,北西,1.8,0,61
2020/1/31,8.1,12.1,3.5,4.8,8.8,17.6,北西,3,0,44
2020/2/1,7.9,13.4,3,3.6,5.7,11.5,北西,0,0,40
2020/2/2,8.7,13.8,5,2.9,6.4,11.4,北西,5,0,40
2020/2/3,9.3,15.2,5.3,2.4,6.3,10.8,北西,9.5,0,52
2020/2/4,7.9,11.4,4.8,2.4,4.4,8.3,南東,6.3,0,54
2020/2/5,7.6,15.2,2.4,3,7.6,15.2,北北西,2.3,0,49
2020/2/6,2.9,6.9,-0.4,4.9,8.5,17.5,北北西,2.5,0,34
2020/2/7,2.4,6.9,-2.1,2,4.3,7,北北西,7.3,0,48
2020/2/8,6.2,12.7,0.7,2.4,6.2,10.6,北,5,0,45
2020/2/9,3.9,8.3,1.2,4,7.1,14.4,北北西,0,0,37
2020/2/10,4.6,10.1,-0.2,2.2,6,11,北北西,2.8,0,46
2020/2/11,6.3,11.7,1.1,2.6,6.5,11,北西,0.3,0,46
2020/2/12,8.7,16,1.9,2,4.4,10.3,北西,7.5,0,51
2020/2/13,11.7,18.2,7.8,1.7,4.4,7.4,北北東,5,0,61
2020/2/14,12,16,8.5,1.7,4.5,7,南南東,7.5,0,75
2020/2/15,12.4,16.2,7.6,1.7,4.3,6.9,北北東,7.3,0,66
2020/2/16,9.3,11.8,7.8,1.8,3.5,6.4,北西,10,8.5,91
2020/2/17,10.3,16.8,5.8,2.3,5.4,8.2,北北東,7.3,0,86
2020/2/18,7.6,12.5,2.8,2.7,6,11.2,北西,2.8,0,44
2020/2/19,8.1,13.3,3.6,2.7,5.6,10.3,北西,4,0,44
2020/2/20,9,13.1,4.7,2.2,4.8,9.2,北北西,7.8,0,58
2020/2/21,10,14.2,5.4,2.8,5.7,9.3,南南東,2.8,0,64
2020/2/22,12.5,18.2,6.4,4.1,10.8,17.9,南南西,6.8,2.5,77
2020/2/23,10.4,16,5.4,3.3,6.9,13.1,北北西,1.8,0,35
2020/2/24,9.8,15.4,4.6,2.5,4.7,10.4,北西,3.3,0,50
2020/2/25,10.5,14.4,6.2,2.1,3.8,6.7,北西,10,0,60
2020/2/26,8.1,9.4,7,2.2,3.7,6.8,北,10,3,88
2020/2/27,7,11.9,3.6,4.2,9.7,17,北北西,0.8,0,49
2020/2/28,7,12.4,1.9,2.7,5.7,8.4,南,6,0,48
2020/2/29,9.4,14.4,5.4,2.2,4.5,6.9,東北東,8,1,64
2020/3/1,12,17.9,6.6,2.4,5.1,10.3,北北西,7.3,0.5,65
2020/3/2,7.3,11.2,5.8,2.5,4.6,9.8,北北西,10,10,94
2020/3/3,11.3,17.8,5.3,3.2,6.7,11.8,北西,6.5,0,59
2020/3/4,8.9,10.9,7.9,2.1,3.9,7.8,北北西,10,1.5,85
2020/3/5,9.2,13.7,6.1,5.1,11.3,21.5,西北西,4.8,1,53
2020/3/6,9.4,15.1,5.4,4,9.1,15.9,北西,0.3,0,33
2020/3/7,7.3,10.4,5.2,2.4,4.4,7.5,北東,10,1.5,68
2020/3/8,7.2,8.9,5.6,2.5,4.1,8.1,北北西,10,6,94
2020/3/9,13.1,19.6,7.6,2.7,4.5,8.3,北北西,7.5,0,79
2020/3/10,14.7,18.2,12.6,2.5,6.8,13.6,南,7.5,24.5,97
2020/3/11,15.3,21.4,9.8,3.3,6.9,12.3,北西,6.3,0,58
2020/3/12,11.4,16.7,7,4.1,7.7,13.3,南東,1,0,48
2020/3/13,12.5,18.7,6.8,2.4,5.5,8.9,西北西,7.5,0,62
2020/3/14,5.5,12.3,1.3,3.2,5.6,11.6,北東,9.3,25,88
2020/3/15,7.1,12,1.8,2.6,5.6,10,西北西,4,0,67
2020/3/16,7.1,14.4,3.6,4.7,13.1,24.3,北西,2,0,55
2020/3/17,7.7,12.7,2.3,3.3,6.3,10.5,南南東,2.5,0,47
2020/3/18,11.9,18.4,4.8,2.7,6.1,9.6,西北西,0.3,0,52
2020/3/19,14.6,22,6.5,3.7,9.4,15.1,南,2.5,1,65
2020/3/20,14.5,19.4,9.5,3.5,8.2,16.9,北北西,3,0,48
2020/3/21,13.8,21,7.6,2.9,6.8,12,南南東,0.5,0,44
2020/3/22,16.8,23.7,10.5,3.5,10.1,17.9,南,6.8,0,49
2020/3/23,10.3,14,7.7,2.7,6,8.7,南東,8.5,0,59
2020/3/24,8.2,12.6,4.7,4.7,9.8,17.8,北西,2.5,0,44
2020/3/25,10,16,3.4,3,5.6,9.8,北西,0.5,0,45
2020/3/26,13,20,7.5,2.2,4.7,7.2,西北西,3.5,0,50
2020/3/27,16.2,22.8,9.1,4.7,10.6,19.6,南,8,0,69
2020/3/28,15.5,24.6,7.4,4.4,8.6,16.1,南,10,8.5,83
2020/3/29,3.6,7.7,0.7,2.8,5.3,11.2,北北西,10,51.5,96
2020/3/30,7.6,10.3,3.5,1.9,3.5,6.4,北北西,10,0,72
2020/3/31,9.8,12.5,8.2,1.9,4.1,5.5,北北西,10,0,79
2020/4/1,11.4,12.9,9.3,2.7,5.1,9.8,北北西,10,31,97
2020/4/2,13.9,19.4,9,6.2,11,20.6,北西,3.8,0,45
2020/4/3,12.8,18.2,6.4,3.3,7.4,12.5,南南東,4.8,0,50
2020/4/4,15.7,22.3,8.6,3.9,9.5,15.6,南南西,0.5,0,62
2020/4/5,10.2,15.9,5.6,2.6,5.6,9,北東,6.3,0,73
2020/4/6,12.1,18.4,6.3,3,5.3,9.8,北西,4.5,0,43
2020/4/7,12.4,18,7.9,2.7,5.1,8.2,南東,6.5,0,50
2020/4/8,14.3,20.2,7.9,2.6,6.2,9.3,南南東,2,0,60
2020/4/9,13.3,20.2,8,3.3,8.7,14.7,北,5,0.5,62
2020/4/10,11.2,17.2,7.4,3.8,7,14.7,北西,6.8,0,49
2020/4/11,11.4,17,6.8,3.2,6.3,11.1,南東,6.5,0.5,48
2020/4/12,10.3,14.6,7.4,2.5,4.4,7.1,北北西,10,6.5,84
2020/4/13,8,10.1,5.4,3.9,7.1,14.3,北北西,10,132,97
2020/4/14,10.9,17.2,5.5,4.7,10.8,19.3,北西,2.5,1.5,54
2020/4/15,13.8,20.8,5.5,3.1,7.5,12.8,南,7.3,0,48
2020/4/16,11.7,16.3,8.6,3.7,6.3,11,北東,10,0.5,66
2020/4/17,12.4,17.8,8.3,3,5.4,8.5,北東,9.5,0.5,62
2020/4/18,12.9,16.2,9.8,3.1,10.1,16.1,南東,8,89.5,96
2020/4/19,14.7,22.5,9,3.5,6.5,12.8,東北東,4.3,0,64
2020/4/20,9.7,10.7,8.3,2.5,4.4,8.1,北北西,9.8,15,94
2020/4/21,14.2,18.9,9,1.7,4.9,7.5,南南東,7,0,82
2020/4/22,13.5,19.2,8.8,2.3,6,12.5,北東,10,0,65
2020/4/23,11.9,17,6.6,3.1,7.1,11.2,西北西,6.5,1,56
2020/4/24,12.2,18.4,6.9,3.3,6.7,14.3,北北西,7,0.5,55
2020/4/25,12.7,18.8,5.3,3.7,8.5,15.3,南南東,0,0,61
2020/4/26,18.3,24.2,11.5,5,9.2,18,南,7.5,0,52
2020/4/27,12.8,17.8,8.5,2.4,5.6,8.9,北東,10,12.5,78
2020/4/28,12.3,19.1,8,2.1,7.4,10.4,南南東,9.5,5,85
2020/4/29,15.1,21.7,8.9,2.7,6.4,9.9,南南東,1.8,0,69
2020/4/30,18,23.9,11.7,3,6.6,11,南,0,0,66
2020/5/1,19.9,25.5,16.2,4.1,7.2,11.2,南,4,0,67
2020/5/2,20.6,26.9,15.3,2.8,6.6,10.1,南南東,0.8,0,73
2020/5/3,20.7,25.8,16.5,4.7,9.2,16.5,南,9.8,0,70
2020/5/4,19.3,22.2,17.3,3.1,7.4,13,南,10,2,87
2020/5/5,21.3,28.4,16.4,3.2,8.6,13.7,北東,6.5,0,73
2020/5/6,15.8,17.3,14.6,2.1,5.1,8.3,北,10,19,90
2020/5/7,16.5,22.5,11,3.3,7.7,13.9,北北西,4.3,0.5,61
2020/5/8,16.7,22.1,11.1,3.5,6.7,12.4,南,3.8,0,48
2020/5/9,18.3,23,13.9,4.3,7.1,12.5,南,10,0,64
2020/5/10,21.5,25.7,17.7,5.3,9.8,18.6,南,10,1,82
2020/5/11,22.9,28.1,20.2,3,7.9,12.2,南東,5.5,0.5,80
2020/5/12,21.7,26.5,19.1,2.8,6.6,10.8,北,10,0,75
2020/5/13,22.3,28.7,16.8,2.7,6,11.9,南南西,4.5,0,55
2020/5/14,20.8,26.2,13.8,3.4,7.7,12.3,南,4,0,40
2020/5/15,21.5,26.5,15.2,3.9,7.7,12.9,南,7.5,0,52
2020/5/16,18.5,21.7,16.4,4.1,6.6,13.1,南,10,24,89
